pmcid	pmid	doi	journal	year	title	n_oss_packages	packages	pipeline
PMC11208138	38778104	10.1038/s41586-024-07458-1	Nature	2024	Structural insights into the cross-exon to cross-intron spliceosome switch.	4	AlphaFold; CTFFIND; PHENIX; RELION	structure determination [AlphaFold, PHENIX] -> stage not stated [CTFFIND, RELION v3.1]
PMC11208142	38898273	10.1038/s41586-024-07528-4	Nature	2024	Krause corpuscles are genital vibrotactile sensors for sexual behaviours.	1	ImageJ	stage not stated [ImageJ]
PMC11208145	38867041	10.1038/s41586-024-07509-7	Nature	2024	Ancient genomes reveal insights into ritual life at Chichén Itzá.	4	ADMIXTURE; ANGSD; BWA; SAMtools	quality control [ANGSD] -> alignment/mapping [BWA v0.7.12] -> stage not stated [ADMIXTURE v1.3.0, SAMtools]
PMC11208146	38926614	10.1038/s41586-024-07550-6	Nature	2024	Molecular basis for transposase activation by a dedicated AAA+ ATPase.	6	CCP4; CTFFIND; ChimeraX; PHENIX; RELION; Topaz	structure determination [PHENIX] -> visualisation [ChimeraX v1.5] -> stage not stated [CCP4, CTFFIND v4.1, RELION, Topaz]
PMC11208148	38723661	10.1038/s41586-024-07495-w	Nature	2024	Rhizobia-diatom symbiosis fixes missing nitrogen in the ocean.	15	BLAST; BWA; Bowtie2; HMMER; IQ-TREE; InterProScan; MAFFT; Prokka; SAMtools; SPAdes; Trimmomatic; eggNOG; featureCounts; hifiasm; minimap2	read trimming [MAFFT, Trimmomatic] -> alignment/mapping [BWA, MAFFT, SAMtools, SPAdes, minimap2] -> quantification [featureCounts] -> dimensionality reduction/clustering [MAFFT] -> machine learning [HMMER v3.1b] -> stage not stated [BLAST, Bowtie2, IQ-TREE, InterProScan, Prokka, eggNOG, hifiasm]
PMC11208150	38898271	10.1038/s41586-024-07563-1	Nature	2024	Multiscale topology classifies cells in subcellular spatial transcriptomics.	4	MACS2; SciPy; Seurat; UMAP	dimensionality reduction/clustering [Seurat, UMAP] -> simulation/modelling [SciPy] -> visualisation [UMAP] -> stage not stated [MACS2]
PMC11208151	38768633	10.1038/s41586-024-07395-z	Nature	2024	A warm Neptune's methane reveals core mass and vigorous atmospheric mixing.	6	Astropy; Matplotlib; NumPy; SciPy; dynesty; emcee	stage not stated [Astropy, Matplotlib, NumPy, SciPy, dynesty, emcee]
PMC11208157	38839960	10.1038/s41586-024-07483-0	Nature	2024	Early stages of covalent organic framework formation imaged in operando.	1	ImageJ	stage not stated [ImageJ]
PMC11208158	38926616	10.1038/s41586-024-07570-2	Nature	2024	Structural mechanism of bridge RNA-guided recombination.	3	BLAST; ChimeraX; ColabFold	structure determination [ChimeraX] -> visualisation [ChimeraX] -> stage not stated [BLAST, ColabFold]
PMC11208160	38926615	10.1038/s41586-024-07552-4	Nature	2024	Bridge RNAs direct programmable recombination of target and donor DNA.	6	BEDTools; BLAST; BWA; HMMER; Python; minimap2	alignment/mapping [BWA, minimap2] -> dimensionality reduction/clustering [HMMER] -> stage not stated [BEDTools, BLAST, Python]
PMC11222144	38811740	10.1038/s41586-024-07497-8	Nature	2024	Structural basis for pegRNA-guided reverse transcription by a prime editor.	6	AlphaFold; ChimeraX; MotionCor2; PHENIX; RELION; Topaz	registration [MotionCor2] -> stage not stated [AlphaFold, ChimeraX, PHENIX, RELION v3.1.1, Topaz]
PMC11222146	38898278	10.1038/s41586-024-07575-x	Nature	2024	Human SARS-CoV-2 challenge uncovers local and systemic response dynamics.	10	DESeq2; MACS2; Python; R; Scanpy; Seurat; SoupX; UMAP; igraph; lme4	alignment/mapping [Seurat v4.1.0] -> dimensionality reduction/clustering [UMAP, igraph] -> differential/statistical testing [DESeq2] -> stage not stated [MACS2, Python, R, Scanpy, SoupX, lme4]
PMC11222150	38839954	10.1038/s41586-024-07517-7	Nature	2024	Single-cell nascent RNA sequencing unveils coordinated global transcription.	5	Bowtie2; Cutadapt; R; Seurat; clusterProfiler	read trimming [Bowtie2] -> alignment/mapping [Bowtie2, Cutadapt] -> dimensionality reduction/clustering [R, clusterProfiler] -> differential/statistical testing [Seurat]
PMC11222152	38926580	10.1038/s41586-024-07607-6	Nature	2024	Zinc mediates control of nitrogen fixation via transcription factor filamentation.	2	ImageJ; MAFFT	alignment/mapping [MAFFT v7.490] -> quantification [ImageJ]
PMC11222158	38867050	10.1038/s41586-024-07546-2	Nature	2024	Ancient Plasmodium genomes shed light on the history of human malaria.	13	ADMIXTURE; BEAST; BEDTools; BWA; Cartopy; FastQC; GATK; PLINK; Picard; RAxML; SAMtools; SciPy; fastp	quality control [BEDTools, FastQC] -> read trimming [BWA, fastp v0.20.1] -> alignment/mapping [BEDTools, BWA, Picard, RAxML] -> variant calling [BEDTools, GATK, PLINK v1.90] -> differential/statistical testing [BEAST, SciPy] -> stage not stated [ADMIXTURE v1.3.0, Cartopy v0.20.3, SAMtools v1.3]
PMC11222160	38811722	10.1038/s41586-024-07488-9	Nature	2024	High-resolution in situ structures of mammalian respiratory supercomplexes.	7	CTFFIND; ChimeraX; EMAN2; IMOD; MotionCor2; PyMOL; RELION	registration [MotionCor2] -> structure determination [ChimeraX, IMOD] -> visualisation [ChimeraX, IMOD, PyMOL] -> stage not stated [CTFFIND, EMAN2, RELION]
PMC11222161	38768632	10.1038/s41586-024-07526-6	Nature	2024	In vitro reconstitution of epigenetic reprogramming in the human germ line.	20	BCFtools; BEDTools; Bismark; Bowtie2; CellProfiler; Cufflinks; Cutadapt; MACS2; Picard; R; SAMtools; Scanpy; Seurat; TopHat; Trim Galore; UMAP; deepTools; ggplot2; scDblFinder; scVelo	read trimming [Cutadapt v1.18, TopHat v2.1.1] -> alignment/mapping [Bismark v0.22.1, Bowtie2 v2.3.4.1, Cufflinks v2.2.1, Cutadapt v1.18, SAMtools v1.15.1, TopHat v2.1.1] -> variant calling [BCFtools v1.15.1] -> quantification [CellProfiler v4.2.1, Cufflinks v2.2.1] -> normalisation [UMAP, deepTools v3.5.0] -> dimensionality reduction/clustering [UMAP] -> stage not stated [BEDTools, MACS2 v2.2.7.1, Picard, R, Scanpy v1.9.1, Seurat, Trim Galore v0.4.1, ggplot2, scDblFinder, scVelo]
PMC11222162	38867037	10.1038/s41586-024-07547-1	Nature	2024	Global variability in atmospheric new particle formation mechanisms.	1	CESM	simulation/modelling [CESM]
PMC11222163	38898274	10.1038/s41586-024-07507-9	Nature	2024	The mechanism for directional hearing in fish.	4	ImageJ; Python; SLEAP; SciPy	stage not stated [ImageJ v1.5, Python, SLEAP, SciPy]
PMC11224022	38867051	10.1038/s41586-024-07557-z	Nature	2024	Mental navigation in the primate entorhinal cortex.	1	Kilosort	stage not stated [Kilosort v2.0]
PMC11236701	38867052	10.1038/s41586-024-07536-4	Nature	2024	Inner core backtracking by seismic waveform change reversals.	1	Matplotlib	visualisation [Matplotlib]
PMC11236702	38987499	10.1038/s41586-024-07511-z	Nature	2024	Fast-moving stars around an intermediate-mass black hole in ω Centauri.	1	emcee	simulation/modelling [emcee]
PMC11236703	38926571	10.1038/s41586-024-07554-2	Nature	2024	An intermediate Rb-E2F activity state safeguards proliferation commitment.	4	AlphaFold; Clustal Omega; ColabFold; PyMOL	alignment/mapping [Clustal Omega] -> dimensionality reduction/clustering [Clustal Omega] -> visualisation [PyMOL] -> stage not stated [AlphaFold, ColabFold]
PMC11236705	38898281	10.1038/s41586-024-07601-y	Nature	2024	Computational design of soluble and functional membrane protein analogues.	6	AlphaFold; ChimeraX; Coot; PHENIX; PyMOL; Python	structure determination [Coot, PHENIX] -> visualisation [ChimeraX, PyMOL, Python v3.9] -> stage not stated [AlphaFold]
PMC11236706	38961295	10.1038/s41586-024-07626-3	Nature	2024	Geographical migration and fitness dynamics of Streptococcus pneumoniae.	4	BEAST; R; RAxML; SAMtools	alignment/mapping [SAMtools] -> variant calling [SAMtools] -> registration [SAMtools] -> differential/statistical testing [BEAST v1.10.4, R v3.6.2] -> stage not stated [RAxML]
PMC11236707	38898279	10.1038/s41586-024-07576-w	Nature	2024	dsRNA formation leads to preferential nuclear export and gene expression.	6	BEDTools; Bioconductor; Cutadapt; DESeq2; TopHat; featureCounts	read trimming [Cutadapt v2.1, TopHat v2.1.1] -> alignment/mapping [Cutadapt v2.1, TopHat v2.1.1] -> quantification [featureCounts] -> stage not stated [BEDTools, Bioconductor, DESeq2]
PMC11236710	38867038	10.1038/s41586-024-07527-5	Nature	2024	Endoplasmic reticulum-plasma membrane contact gradients direct cell migration.	1	PyTorch	machine learning [PyTorch]
PMC11236712	38926577	10.1038/s41586-024-07583-x	Nature	2024	Drosophila immune cells transport oxygen through PPO2 protein phase transition.	1	ImageJ	stage not stated [ImageJ]
PMC11236723	38961292	10.1038/s41586-024-07619-2	Nature	2024	Kinetic features dictate sensorimotor alignment in the superior colliculus.	4	CaImAn; DeepLabCut; PsychoPy; Python	stage not stated [CaImAn, DeepLabCut, PsychoPy, Python]
PMC11254748	38961290	10.1038/s41586-024-07620-9	Nature	2024	NBS1 lactylation is required for efficient DNA repair and chemotherapy resistance.	2	ImageJ; STRING db	quantification [ImageJ] -> stage not stated [STRING db]
PMC11254752	38961293	10.1038/s41586-024-07629-0	Nature	2024	Human degradation of tropical moist forests is greater than previously estimated.	1	brms	differential/statistical testing [brms]
PMC11254755	38926572	10.1038/s41586-024-07567-x	Nature	2024	Chemical reservoir computation in a self-organizing reaction network.	3	OpenCV; Python; scikit-learn	stage not stated [OpenCV, Python, scikit-learn]
PMC11254756	38987596	10.1038/s41586-024-07671-y	Nature	2024	Plasmacytoid dendritic cells control homeostasis of megakaryopoiesis.	6	DESeq2; GSEA; Monocle; R; Seurat; UMAP	dimensionality reduction/clustering [R, UMAP] -> differential/statistical testing [UMAP] -> simulation/modelling [Monocle] -> stage not stated [DESeq2 v1.30.0, GSEA, Seurat]
PMC11254759	38926583	10.1038/s41586-024-07613-8	Nature	2024	Transposase-assisted target-site integration for efficient plant genome engineering.	4	Bowtie2; Cutadapt; R; ggplot2	read trimming [Bowtie2, Cutadapt] -> alignment/mapping [Bowtie2] -> stage not stated [R, ggplot2]
PMC11254762	38961302	10.1038/s41586-024-07643-2	Nature	2024	Semantic encoding during language comprehension at single-cell resolution.	3	Kilosort; Python; SPM	dimensionality reduction/clustering [SPM] -> visualisation [SPM] -> stage not stated [Kilosort, Python]
PMC11254774	38987587	10.1038/s41586-024-07608-5	Nature	2024	Brainstem Dbh&lt;sup&gt;+&lt;/sup&gt; neurons control allergen-induced airway hyperreactivity.	6	R; Seurat; UMAP; ggplot2; scDblFinder; tidyverse	quality control [R, Seurat v4.0, UMAP] -> normalisation [R, Seurat v4.0, UMAP, scDblFinder v2.0] -> dimensionality reduction/clustering [R, Seurat v4.0, UMAP, ggplot2 v3.3.2, tidyverse] -> differential/statistical testing [R, Seurat v4.0, UMAP] -> visualisation [ggplot2 v3.3.2, tidyverse]
PMC11269171	39048683	10.1038/s41586-024-07592-w	Nature	2024	Global atmospheric methane uptake by upland tree woody surfaces.	1	R	stage not stated [R]
PMC11269172	38961284	10.1038/s41586-024-07541-7	Nature	2024	Narrative cave art in Indonesia by 51,200 years ago.	1	R	stage not stated [R v6.1]
PMC11269176	38987593	10.1038/s41586-024-07658-9	Nature	2024	Airborne DNA reveals predictable spatial and seasonal dynamics of fungi.	5	Cutadapt; DADA2; R; lme4; phyloseq	read trimming [Cutadapt v4.2] -> differential/statistical testing [lme4] -> stage not stated [DADA2 v1.18.0, R, phyloseq]
PMC11269177	39020163	10.1038/s41586-024-07657-w	Nature	2024	Thresholds for adding degraded tropical forest to the conservation estate.	3	ape (R); lme4; tidyverse	visualisation [ape (R) v5.0, lme4 v1.1, tidyverse v1.1.4]
PMC11269178	38843826	10.1038/s41586-024-07597-5	Nature	2024	Widespread horse-based mobility arose around 2200 BCE in Eurasia.	2	ANGSD; Bowtie2	stage not stated [ANGSD v0.917, Bowtie2]
PMC11269182	38838737	10.1038/s41586-024-07610-x	Nature	2024	Structure and topography of the synaptic V-ATPase-synaptophysin complex.	11	AlphaFold; ChimeraX; Coot; IMOD; PHENIX; PyMOL; Python; RELION; SciPy; Topaz; UCSF Chimera	alignment/mapping [IMOD, RELION] -> structure determination [AlphaFold, PHENIX v1.21] -> machine learning [RELION, Topaz] -> visualisation [PyMOL] -> stage not stated [ChimeraX, Coot, Python, SciPy, UCSF Chimera]
PMC11269185	38987597	10.1038/s41586-024-07684-7	Nature	2024	Glutamate acts on acid-sensing ion channels to worsen ischaemic brain injury.	1	GROMACS	simulation/modelling [GROMACS v2020.3]
PMC11269187	39020164	10.1038/s41586-024-07662-z	Nature	2024	Position-dependent function of human sequence-specific transcription factors.	7	BCFtools; Cutadapt; DESeq2; HOMER; PLINK; STAR; fastp	read trimming [Cutadapt v3.4, fastp] -> alignment/mapping [STAR v2.7.10a, fastp] -> variant calling [PLINK v2.00a] -> normalisation [DESeq2] -> stage not stated [BCFtools, HOMER]
PMC11269190	38987588	10.1038/s41586-024-07630-7	Nature	2024	A liver immune rheostat regulates CD8 T cell immunity in chronic HBV infection.	12	Cytoscape; DESeq2; GSEA; QuPath; R; SCENIC; STAR; Seurat; Trimmomatic; UMAP; ggplot2; igraph	quality control [Seurat] -> read trimming [Trimmomatic v0.36] -> dimensionality reduction/clustering [UMAP] -> visualisation [Cytoscape v3.7.1, ggplot2] -> stage not stated [DESeq2, GSEA, QuPath v0.2.3, R, SCENIC, STAR v2.5.3a, igraph]
PMC11269202	38987603	10.1038/s41586-024-07680-x	Nature	2024	CryoET of β-amyloid and tau within postmortem Alzheimer's disease brain.	9	CTFFIND; ChimeraX; Coot; EMAN2; Fiji; IMOD; ImageJ; PHENIX; RELION	alignment/mapping [IMOD v4.12.35] -> structure determination [Coot v0.8.9.2, PHENIX v1.17.1] -> machine learning [EMAN2 v2.99] -> stage not stated [CTFFIND v1.14, ChimeraX v1.5, Fiji, ImageJ, RELION v4.0]
PMC11291274	39020182	10.1038/s41586-024-07702-8	Nature	2024	Groundwater-dependent ecosystem map exposes global dryland protection needs.	1	R	differential/statistical testing [R]
PMC11291277	38961285	10.1038/s41586-024-07612-9	Nature	2024	Middle and Late Pleistocene Denisovan subsistence at Baishiya Karst Cave.	2	MrBayes; RAxML	differential/statistical testing [MrBayes v3.2.7] -> stage not stated [RAxML v4.0]
PMC11291278	39020179	10.1038/s41586-024-07708-2	Nature	2024	Sources of gene expression variation in a globally diverse human cohort.	2	ADMIXTURE; VEP	dimensionality reduction/clustering [ADMIXTURE] -> visualisation [ADMIXTURE] -> stage not stated [VEP]
PMC11291279	38987602	10.1038/s41586-024-07655-y	Nature	2024	Deeper and stronger North Atlantic Gyre during the Last Glacial Maximum.	1	CESM	stage not stated [CESM]
PMC11291281	39020172	10.1038/s41586-024-07700-w	Nature	2024	Clonal inactivation of TERT impairs stem cell competition.	12	Bowtie2; DESeq2; FastQC; GSEA; ImageJ; MACS2; Picard; R; SAMtools; TopHat; Trim Galore; ggplot2	quality control [FastQC] -> read trimming [DESeq2, FastQC, TopHat v2.0.13, Trim Galore v0.4.0] -> alignment/mapping [Bowtie2, DESeq2, SAMtools, TopHat v2.0.13, Trim Galore v0.4.0] -> differential/statistical testing [R, ggplot2] -> stage not stated [GSEA, ImageJ, MACS2, Picard]
PMC11291285	38987589	10.1038/s41586-024-07651-2	Nature	2024	Repeated plague infections across six generations of Neolithic Farmers.	9	BCFtools; BEDTools; Bowtie2; GATK; Picard; R; RAxML; SAMtools; minimap2	read trimming [Bowtie2 v2.3.2] -> alignment/mapping [BCFtools, Bowtie2 v2.3.2, RAxML v0.9.0, SAMtools v1.12, minimap2 v2.17] -> variant calling [GATK] -> visualisation [R v4.2.2] -> stage not stated [BEDTools, Picard]
PMC11291286	38961289	10.1038/s41586-024-07611-w	Nature	2024	Adenosine signalling to astrocytes coordinates brain metabolism and function.	5	Fiji; ImageJ; R; Seurat; UMAP	dimensionality reduction/clustering [UMAP] -> visualisation [ImageJ, R v4.2.2, Seurat, UMAP] -> stage not stated [Fiji]
PMC11291287	39020171	10.1038/s41586-024-07688-3	Nature	2024	A hot-Jupiter progenitor on a super-eccentric retrograde orbit.	2	PyMC; PyMC3	simulation/modelling [PyMC, PyMC3]
PMC11291288	39020175	10.1038/s41586-024-07701-9	Nature	2024	Inhibition of IL-11 signalling extends mammalian healthspan and lifespan.	9	Bioconductor; DESeq2; ImageJ; R; STAR; Trimmomatic; featureCounts; fgsea; pheatmap	read trimming [Trimmomatic] -> alignment/mapping [STAR v2.7.9a] -> quantification [ImageJ v1.53t, pheatmap] -> differential/statistical testing [Bioconductor, DESeq2 v1.36.0, R v4.2] -> visualisation [pheatmap] -> stage not stated [featureCounts, fgsea v1.22.0]
PMC11291290	39048822	10.1038/s41586-024-07752-y	Nature	2024	Neoantigen-specific cytotoxic Tr1 CD4 T cells suppress cancer immunotherapy.	7	DESeq2; GSEA; R; Seurat; UMAP; fgsea; limma	normalisation [DESeq2 v1.30.1, limma] -> dimensionality reduction/clustering [GSEA, UMAP] -> differential/statistical testing [limma] -> stage not stated [R, Seurat, fgsea]
PMC11291292	38987594	10.1038/s41586-024-07667-8	Nature	2024	An enterococcal phage-derived enzyme suppresses graft-versus-host disease.	8	BLAST; Cutadapt; MUSCLE; QIIME 2; R; SAMtools; SPAdes; ggplot2	alignment/mapping [MUSCLE v3.8.31] -> dimensionality reduction/clustering [SPAdes v3.13.0] -> differential/statistical testing [SPAdes v3.13.0] -> stage not stated [BLAST, Cutadapt, QIIME 2 v2018.11, R, SAMtools, ggplot2 v3.3.6]
PMC11291293	39020167	10.1038/s41586-024-07624-5	Nature	2024	Psilocybin desynchronizes the human brain.	1	FreeSurfer	registration [FreeSurfer]
PMC11306095	38866051	10.1038/s41586-024-07661-0	Nature	2024	Interactions between immune cell types facilitate the evolution of immune traits.	1	R	alignment/mapping [R] -> variant calling [R]
PMC11306098	38987585	10.1038/s41586-024-07634-3	Nature	2024	A maternal brain hormone that builds bone.	7	ImageJ; RSEM; STAR; Scanpy; UMAP; kallisto; scDblFinder	read trimming [RSEM v1.2.21, STAR v2.4] -> alignment/mapping [RSEM v1.2.21, STAR v2.4, kallisto] -> quantification [ImageJ] -> dimensionality reduction/clustering [UMAP] -> stage not stated [Scanpy v1.9, scDblFinder]
PMC11306100	39112620	10.1038/s41586-024-07672-x	Nature	2024	Highest ocean heat in four centuries places Great Barrier Reef in danger.	1	CESM	structure determination [CESM]
PMC11306101	39048830	10.1038/s41586-024-07745-x	Nature	2024	Human TMEFF1 is a restriction factor for herpes simplex virus in the brain.	11	ComplexHeatmap; DESeq2; GATK; ImageJ; PLINK; Picard; SAMtools; STAR; edgeR; featureCounts; kallisto	quality control [STAR v2.6.1d] -> alignment/mapping [STAR v2.6.1d, kallisto v0.48.0] -> quantification [featureCounts v1.6.0] -> normalisation [ComplexHeatmap v2.14.0, edgeR] -> dimensionality reduction/clustering [ComplexHeatmap v2.14.0, PLINK v1.9, edgeR] -> differential/statistical testing [DESeq2 v1.38.3] -> stage not stated [GATK v3.4, ImageJ, Picard, SAMtools v1.0]
PMC11306103	39020166	10.1038/s41586-024-07663-y	Nature	2024	In vivo single-cell CRISPR uncovers distinct TNF programmes in tumour evolution.	20	CellChat; ComplexHeatmap; Cutadapt; DESeq2; Enrichr; FastQC; GSEA; Python; R; STAR; Seurat; UMAP; WGCNA; ggplot2; pandas; pheatmap; scDblFinder; seaborn; survival (R); tidyverse	quality control [FastQC] -> read trimming [Cutadapt] -> alignment/mapping [STAR] -> dimensionality reduction/clustering [UMAP, pheatmap] -> differential/statistical testing [DESeq2] -> visualisation [UMAP] -> stage not stated [CellChat, ComplexHeatmap, Enrichr, GSEA, Python, R, Seurat, WGCNA, ggplot2, pandas, scDblFinder, seaborn, survival (R), tidyverse]
PMC11306106	39112622	10.1038/s41586-024-07717-1	Nature	2024	Coevolution of craton margins and interiors during continental break-up.	2	QGIS; R	stage not stated [QGIS v3.16, R]
PMC11306109	38961294	10.1038/s41586-024-07632-5	Nature	2024	The cortical amygdala consolidates a socially transmitted long-term memory.	9	CellProfiler; Cellpose; ImageJ; R; STAR; Scanpy; Seurat; UMAP; featureCounts	alignment/mapping [STAR v2.7.10a, Seurat] -> quantification [ImageJ] -> normalisation [Scanpy] -> dimensionality reduction/clustering [UMAP] -> visualisation [UMAP] -> stage not stated [CellProfiler, Cellpose, R v4.2.2, featureCounts v2.0.0]
PMC11306111	39048831	10.1038/s41586-024-07715-3	Nature	2024	In vivo interaction screening reveals liver-derived constraints to metastasis.	17	Bioconductor; Bowtie2; CellPhoneDB; Cellpose; Cutadapt; Enrichr; FastQC; GSEA; ImageJ; QuPath; R; Seurat; Signac; UMAP; edgeR; fgsea; ggplot2	quality control [FastQC] -> read trimming [Cutadapt, FastQC] -> alignment/mapping [Bowtie2] -> quantification [QuPath] -> dimensionality reduction/clustering [UMAP] -> differential/statistical testing [edgeR] -> visualisation [ImageJ, UMAP, ggplot2] -> stage not stated [Bioconductor, CellPhoneDB, Cellpose, Enrichr, GSEA, R v4.1.0, Seurat, Signac, fgsea]
PMC11324512	38914113	10.1038/s41586-024-07703-7	Nature	2024	Bound star clusters observed in a lensed galaxy 460 Myr after the Big Bang.	1	emcee	stage not stated [emcee]
PMC11324514	39112699	10.1038/s41586-024-07726-0	Nature	2024	Membrane prewetting by condensates promotes tight-junction belt formation.	9	Cellpose; Cytoscape; Jupyter; R; STRING db; clusterProfiler; ggplot2; limma; tidyverse	normalisation [limma] -> dimensionality reduction/clustering [clusterProfiler, tidyverse] -> differential/statistical testing [R] -> stage not stated [Cellpose, Cytoscape v3.9.0, Jupyter v7.3.10, STRING db v11.5, ggplot2]
PMC11324515	39112696	10.1038/s41586-024-07722-4	Nature	2024	Molecular mimicry in multisystem inflammatory syndrome in children.	7	Python; Scanpy; SciPy; Seurat; igraph; scikit-learn; tidyverse	differential/statistical testing [Python, SciPy, scikit-learn, tidyverse v1.1.4] -> machine learning [scikit-learn] -> stage not stated [Scanpy v1.10.0, Seurat, igraph v2.0.3]
PMC11324517	39112705	10.1038/s41586-024-07739-9	Nature	2024	Structure of the human dopamine transporter and mechanisms of inhibition.	5	AlphaFold; ChimeraX; PHENIX; PyMOL; VMD	structure determination [AlphaFold, ChimeraX, PHENIX v1.20.1] -> stage not stated [PyMOL, VMD]
PMC11324527	39048819	10.1038/s41586-024-07720-6	Nature	2024	Cryo-EM architecture of a near-native stretch-sensitive membrane microdomain.	10	AlphaFold; CTFFIND; Cellpose; ChimeraX; Coot; GROMACS; MotionCor2; PHENIX; RELION; VMD	alignment/mapping [CTFFIND v1.06, MotionCor2] -> simulation/modelling [GROMACS v2021.5] -> structure determination [Coot v0.8.9.2, PHENIX v1.20] -> visualisation [ChimeraX v1.5] -> stage not stated [AlphaFold, Cellpose v2.0, RELION v2.1.0, VMD v1.9]
PMC11324528	39048821	10.1038/s41586-024-07740-2	Nature	2024	Shifts in receptors during submergence of an encephalitic arbovirus.	1	MUSCLE	alignment/mapping [MUSCLE]
PMC11324530	38987604	10.1038/s41586-024-07493-y	Nature	2024	Single-cell atlas of the human brain vasculature across development, adulthood and disease.	3	Monocle; Seurat; UMAP	dimensionality reduction/clustering [Monocle, UMAP] -> stage not stated [Seurat]
PMC11338820	39085607	10.1038/s41586-024-07757-7	Nature	2024	The catalytic asymmetric polyene cyclization of homofarnesol to ambrox.	2	ChimeraX; UCSF Chimera	visualisation [ChimeraX, UCSF Chimera]
PMC11338822	39143207	10.1038/s41586-024-07799-x	Nature	2024	Abstract representations emerge in human hippocampal neurons during inference.	1	ANTs	alignment/mapping [ANTs v2.1] -> normalisation [ANTs v2.1] -> visualisation [ANTs v2.1]
PMC11338826	39112698	10.1038/s41586-024-07746-w	Nature	2024	ILC2-derived LIF licences progress from tissue to systemic immunity.	4	DESeq2; STAR; Trim Galore; tidyverse	read trimming [DESeq2 v1.18.1, STAR v2.6.0a, Trim Galore v0.50] -> alignment/mapping [DESeq2 v1.18.1, STAR v2.6.0a, Trim Galore v0.50] -> differential/statistical testing [DESeq2 v1.18.1, STAR v2.6.0a, Trim Galore v0.50] -> stage not stated [tidyverse]
PMC11338827	38991538	10.1038/s41586-024-07773-7	Nature	2024	De novo variants in the RNU4-2 snRNA cause a frequent neurodevelopmental syndrome.	5	BEDTools; Python; R; SAMtools; STAR	alignment/mapping [BEDTools v2.31.0, STAR] -> quantification [STAR] -> normalisation [STAR] -> stage not stated [Python, R v4.0.2, SAMtools]
PMC11338829	38885696	10.1038/s41586-024-07682-9	Nature	2024	Harnessing landrace diversity empowers wheat breeding.	13	ADMIXTURE; BCFtools; BWA; Beagle; GATK; GEMMA; PLINK; Picard; R; SAMtools; SnpEff; fastp; scikit-learn	quality control [BWA v0.7.17] -> read trimming [fastp] -> alignment/mapping [BWA v0.7.17, Picard v2.20.3, SAMtools v1.9] -> variant calling [Beagle, PLINK v1.90, scikit-learn] -> quantification [scikit-learn] -> dimensionality reduction/clustering [PLINK v1.90] -> stage not stated [ADMIXTURE, BCFtools, GATK v4.1.2, GEMMA v0.98.1, R, SnpEff v4.3t]
PMC11338831	38866053	10.1038/s41586-024-07668-7	Nature	2024	Oligomerization-mediated autoinhibition and cofactor binding of a plant NLR.	4	AlphaFold; MotionCor2; PHENIX; RELION	structure determination [AlphaFold, PHENIX, RELION v3.08] -> stage not stated [MotionCor2]
PMC11338832	39143214	10.1038/s41586-024-07813-2	Nature	2024	De novo design of allosterically switchable protein assemblies.	6	ChimeraX; PHENIX; PyMOL; Python; SciPy; UCSF Chimera	differential/statistical testing [SciPy] -> structure determination [PHENIX] -> visualisation [ChimeraX, Python] -> stage not stated [PyMOL, UCSF Chimera]
PMC11338833	38987595	10.1038/s41586-024-07681-w	Nature	2024	In situ targeted base editing of bacteria in the mouse gut.	7	Cutadapt; MAFFT; Matplotlib; Python; QIIME 2; fastp; seaborn	alignment/mapping [MAFFT, Python] -> dimensionality reduction/clustering [QIIME 2] -> stage not stated [Cutadapt v3.3, Matplotlib, fastp, seaborn]
PMC11338834	39048816	10.1038/s41586-024-07606-7	Nature	2024	Single-cell multiregion dissection of Alzheimer's disease.	12	CellPhoneDB; DESeq2; MAGMA; R; SCENIC; Seurat; UMAP; edgeR; emmeans; ggplot2; lme4; scDblFinder	alignment/mapping [Seurat] -> normalisation [scDblFinder] -> dimensionality reduction/clustering [Seurat, UMAP, edgeR, scDblFinder] -> differential/statistical testing [DESeq2, R, edgeR, emmeans, lme4] -> visualisation [DESeq2, Seurat] -> stage not stated [CellPhoneDB, MAGMA, SCENIC, ggplot2]
PMC11357981	38862028	10.1038/s41586-024-07639-y	Nature	2024	The Space Omics and Medical Atlas (SOMA) and international astronaut biobank.	11	ComplexHeatmap; DESeq2; Enrichr; GSEA; NumPy; R; Seurat; UMAP; edgeR; featureCounts; limma	quality control [Seurat] -> quantification [Enrichr] -> normalisation [NumPy, featureCounts] -> dimensionality reduction/clustering [UMAP] -> stage not stated [ComplexHeatmap, DESeq2 v1.36.0, GSEA, R, edgeR, limma]
PMC11357988	39039241	10.1038/s41586-024-07744-y	Nature	2024	Neural general circulation models for weather and climate.	1	Python	stage not stated [Python]
PMC11357993	39020177	10.1038/s41586-024-07706-4	Nature	2024	Symbolic recording of signalling and cis-regulatory element activity to DNA.	5	Cutadapt; DESeq2; Jupyter; STAR; scikit-learn	read trimming [Cutadapt, STAR v2.7.3] -> alignment/mapping [Cutadapt, STAR v2.7.3] -> differential/statistical testing [DESeq2, scikit-learn] -> machine learning [scikit-learn] -> stage not stated [Jupyter]
PMC11357994	39009005	10.1038/s41586-024-07768-4	Nature	2024	Inhomogeneous terminators on the exoplanet WASP-39 b.	1	MOM6	dimensionality reduction/clustering [MOM6] -> simulation/modelling [MOM6]
